  Y84      Y83     SHARES    REV      INC   AGE
1481250  1425000   101037   38828   1454.8  65
1239402  1455350  5713459   558.4     29.7  44
1205181  1057707    18367   12595    479.0  60
1012500   862500   134713   4233.6   108.3  66
 980000   871056     7896   8321.5   234.1  53
 921213   817687    48722   3104     402.6  56
 915600  1092570    78513   7000     188.0  47
 912500   833000    73120   1245.8   161.6  56
 863000   372645    57723   6661.8   490.8  57
 882347   736883    38436   3429.8    38.0  55
 890000   838462     8247   9758.7   455.8  57
 815000   698333    22135   2001.8   109.8  55
 748189   647988    50612   28998   2183.0  59
 740500   728663  2331816   4907.0   117.7  66
 706565   502400    22432   921.6     52.7  63
 698923   630000   113906   1468.1    94.2  54
 661958   660000    53162   1397.0    89.3  61
 654936   350004    23925   875.8     36.7  50
 620000   573500   205046   33915.6  206.1  62
 607083   483542   224632   4159.7   145.5  64
 606977   475176    25369   3344.1   134.8  46
 583437   507036    56713   2139.8    36.6  62
 567000   498960   379860   1314.8   142.5  53
 566446   488543   139200   1794.4   103.0  59
 559266   534004    60450   3738.8   141.0  57
 551516   454752   232466   2744.6    85.4  49
 551154   550000    63220   1041.9    66.4  58
 550000   550000   100112   5534.0   387.0  62
 545908   518177    25172   1814.5   134.0  50
 545000   457375    13200   1374.6   123.4  67
 540000   462000    92200   1070.8    41.7  65
 499991   469873   180035   3414.8   389.1  52
 495915   391035  1036286   1059.3     6.9  57
 490000   372500    33002   267.6     16.8  54
 489419   434008  1558377   348.6      4.5  65
 480000   274820   146407   1365.5   106.2  56
 475000   508333    40736   4802.0    55.0  66
 473216   300000     2000   1177.2    27.2  47
 465000   645000    72786   1800.4    29.1  50
 464577   425654    37650   571.6     17.8  64
 461250   350250     4826   1716.0    63.6  45
 459352   402735    96431   592.3     60.0  54
 455998   420422    72226   923.1     26.5  62
 451667   371400   107233   590.5     39.7  52
 450192   337533  1510150   437.8     13.8  58
 450010   267510  2516958   252.2     38.2  47
 450000   387500     3346   496.6     31.7  69
 434487   313500   307120   220.0     19.0  56
 432667   383333    26163   845.1     36.6  57
 430000   396000  4022460   1287.7   162.2  47

